nbcodcultur,Name,symbiotic fixation kg N/ u,N export,P2O5 export,K2O export,unit,observations,coeff energy,DM/U,species,crop categ,export unit of DM,Residues coefficient of A surface (slope),Residues coefficient of B surface (intercept),below-ground part of residues on the total biomass ,N content in above-ground residues (t N/unit),N content in below-ground residues (t N/tDM),Conversion coeff unit harvest/tonne,Crop type,Emission factor of crop seed (kgeqCO2/kg seeds),Land use category (SOC calculation),Soil cover during winter (default value),% of legumes in the crop (default value),Cf (combustion factor),Crop code
,Raspberry,,1.3,0,1.8,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.2,0.14,raspberry,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Redcurrant ,,1.6,0.6,3.4,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,1.3,0.12,redcurrant ,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Rosemary ,,5.3,1.5,8,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,5.5,0.32,rosemary ,cp,t,,,,,,1,legu,0,tree crop,no,0,0.8,0
,Switchgrass,,6.3,0.63,2.1,t DM,INRA,,1,switchgrass,cp,t DM,0.3,0,0.22,0.006,0.012,1,indus,0,tree crop,no,0,0.8,0
,Thyme,,1,0.3,0.7,t,Données internet - cédric + NPK lavande,4.2,0.35,thyme,cp,t,,,,,,1,legu,0,tree crop,no,0,0.8,0
,Unproductive orchard,,40,0,0,HA,Estimation,0,,ochard,cp,HA,,,,,,,fruit,0,tree crop,no,0,0.8,0
,Walnut tree,,1.4,0.4,3,t,,21.7,0.2,walnut tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Wine,,0.85,0.27,1.1,HL,,0.54,0.03,vineyard,cp,HL,,,,,,,fruit,0.031,vineyard,no,0,0.8,0
Grassland,,,,,,,,,,,,,,,,,,,,,,,,,
,Cover crop - intermediate crop (leguminous 100%),39,39,,,tDMFG,Climagri,,1,Cover crop - intermediate crop (leguminous 100%),ca,tDMFG,0.29,0,0.4,0.027,0.019,1,FG,0,temporary grassland,yes,1,0.8,156
,Cover crop - intermediate crop (30% leguminous),8.19,29.2,,,tDMFG,Climagri,,1,Cover crop - intermediate crop (30% leguminous),ca,tDMFG,0.3,0,0.8,0.018333333,0.014333333,1,FG,0,temporary grassland,yes,0.3,0.8,0
,Cover crop - intermediate crop (grass 100%),0,25,,,tDMFG,Climagri,,1,Cover crop - intermediate crop (grass 100%),ca,tDMFG,0.3,0,0.54,0.015,0.012,1,FG,0,temporary grassland,yes,0,0.8,0
,Temporary grasslands: legumes,39,39,8,31,t DM,,18.4,1,Lucerne,pt,tDMFG,0.29,0,0.4,0.027,0.019,1,FG,0,temporary grassland,yes,1,0.8,0
,Temporary grasslands: mixed,8.19,29.2,8,31,t DM,,18.4,1,mixed meadow,pt,tDMFG,0.3,0,0.8,0.018333333,0.014333333,1,FG,0,temporary grassland,yes,0.3,0.8,0
,Temporary grasslands: grasses alone ,,25,8,31,t DM,climagri,18.4,1,others grasses meadow,pt,tDMFG,0.3,0,0.54,0.015,0.012,1,FG,0,temporary grassland,yes,0,0.8,0
,Fallow. five years (semi-permanent),,,,,none,,18.4,1,fallow permanent,pt,none,,,,,,,fallow,0,temporary grassland,no,0,0.8,0
,Pasture < 30 years,4.1,27.1,8,31,t DM,climagri,18.4,1,meadow,sth,tDMFG,0.3,0,0.8,0.015,0.012,1,FG,0,permanent grassland,yes,0.21,0.8,0
,Pasture > 30 years,4.1,27.1,8,31,t DM,climagri,18.4,1,natural pasture,sth,tDMFG,0.3,0,0.8,0.015,0.012,1,FG,0,permanent grassland,no,0.21,0.8,0
,Pasture (orchard),,27.1,8,31,t DM,,18.4,1,ochard meadow,sth,tDMFG,0.3,0,0.8,0.015,0.012,1,FG,0,permanent grassland,yes,0.21,0.8,0
